company,fashion_index_score,ticker,yahoo_name,market_cap,revenue,ebitda,debt,currency,yahoo_resolution_note
Hugo Boss,55,BOSS.DE,Hugo Boss AG,2489413143,4269838000,788848000,1182029000,EUR,mapped ticker
Ralph Lauren,54,RL,Ralph Lauren Corporation,21926894151,7833100000,1425000000,2858700000,USD,mapped ticker
Zeeman,54,,,,,,,,no public Yahoo ticker found
Gildan,54,GIL,Gildan Activewear Inc.,11316605760,4073508000,623444000,5011775000,USD,mapped ticker
Lululemon,52,LULU,lululemon athletica inc.,15442344751,11102600000,2706843000,1798441000,USD,mapped ticker
Sainsbury's,51,SBRY.L,J Sainsbury plc,7325006550,33647000000,2188000000,6608000000,GBP,mapped ticker
Balenciaga,51,KER.PA,Kering SA,28527624660,14675000000,3120000000,18149000000,EUR,mapped ticker
Bottega Veneta,51,KER.PA,Kering SA,28527624660,14675000000,3120000000,18149000000,EUR,mapped ticker
SAINT LAURENT,51,KER.PA,Kering SA,28527624660,14675000000,3120000000,18149000000,EUR,mapped ticker
GU,51,9983.T,"Fast Retailing Co., Ltd.",22365548721490,3665568000000,953158000000,548248000000,JPY,mapped ticker
Uniqlo,51,9983.T,"Fast Retailing Co., Ltd.",22365548721490,3665568000000,953158000000,548248000000,JPY,mapped ticker
C&A,68,,,,,,,,no public Yahoo ticker found
Puma,66,PUM.DE,PUMA SE,3824487351,7296200000,65000000,2582300000,EUR,mapped ticker
The North Face,66,VFC,V.F. Corporation,7437916150,9582944000,847219000,5338701000,USD,mapped ticker
Timberland,66,VFC,V.F. Corporation,7437916150,9582944000,847219000,5338701000,USD,mapped ticker
Vans,65,VFC,V.F. Corporation,7437916150,9582944000,847219000,5338701000,USD,mapped ticker
Dressmann,65,,,,,,,,no public Yahoo ticker found
Calzedonia,63,,,,,,,,no public Yahoo ticker found
Intimissimi,63,,,,,,,,no public Yahoo ticker found
Tezenis,63,,,,,,,,no public Yahoo ticker found
Gucci,80,KER.PA,Kering SA,28527624660,14675000000,3120000000,18149000000,EUR,mapped ticker
Kmart Australia,76,WES.AX,Wesfarmers Limited,83375163544,46286000000,6201000000,11168000000,AUD,mapped ticker
Target Australia,76,WES.AX,Wesfarmers Limited,83375163544,46286000000,6201000000,11168000000,AUD,mapped ticker
United Colors of Benetton,73,,,,,,,,no public Yahoo ticker found
H&M,71,HM-B.ST,H & M Hennes & Mauritz AB (publ),262993436293,228285000000,39995000000,77547000000,SEK,mapped ticker
OVS,83,OVS.MI,OVS S.p.A.,1230930620,,,1507834000,EUR,mapped ticker
